symbol,offset_bin_start_ms,offset_bin_end_ms,trades,share_of_all_trades
PYBOBOUSDT,670,680,2,2.996613826e-05
PYBOBOUSDT,680,690,0,0
PYBOBOUSDT,690,700,3,4.49492074e-05
PYBOBOUSDT,700,710,1,1.498306913e-05
PYBOBOUSDT,710,720,3,4.49492074e-05
PYBOBOUSDT,720,730,2,2.996613826e-05
PYBOBOUSDT,730,740,2,2.996613826e-05
PYBOBOUSDT,740,750,2,2.996613826e-05
PYBOBOUSDT,750,760,3,4.49492074e-05
PYBOBOUSDT,760,770,3,4.49492074e-05
PYBOBOUSDT,770,780,2,2.996613826e-05
PYBOBOUSDT,780,790,5,7.491534566e-05
PYBOBOUSDT,790,800,2,2.996613826e-05
