phase_seconds_after_five_minute_boundary,possible_anchors,wide_window_hits,wide_window_hit_share,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries,wide_window_overlaps_target_boundary
182,8640,427,0.0494212963,24,0,0,0,0,0,0,0,0,false
183,8640,96,0.01111111111,32,0,0,0,0,0,0,0,0,false
184,8640,56,0.006481481481,12,0,0,0,0,0,0,0,0,false
185,8640,68,0.00787037037,8,0,0,0,0,0,0,0,0,false
186,8640,64,0.007407407407,10,1,0,0,0,0,0,0,0,false
187,8640,72,0.008333333333,14,0,0,0,0,0,0,0,0,false
188,8640,77,0.008912037037,14,2,0,0,0,0,0,0,0,false
189,8640,64,0.007407407407,22,2,0,0,0,0,0,0,0,false
190,8640,68,0.00787037037,14,0,0,0,0,0,0,0,0,false
191,8640,76,0.008796296296,14,0,0,0,0,0,0,0,0,false
192,8640,52,0.006018518519,9,1,1,0,0,0,0,0,0,false
193,8640,58,0.006712962963,9,0,0,0,0,0,0,0,0,false
194,8640,63,0.007291666667,16,0,0,0,0,0,0,0,0,false
195,8640,60,0.006944444444,15,2,0,0,0,0,0,0,0,false
196,8640,63,0.007291666667,19,1,1,0,0,0,0,0,0,false
197,8640,72,0.008333333333,14,0,0,0,0,0,0,0,0,false
198,8640,59,0.006828703704,14,0,0,0,0,0,0,0,0,false
199,8640,63,0.007291666667,9,0,0,0,0,0,0,0,0,false
200,8640,63,0.007291666667,19,0,0,0,0,0,0,0,0,false
201,8640,57,0.006597222222,13,0,0,0,0,0,0,0,0,false
202,8640,55,0.006365740741,12,0,0,0,0,0,0,0,0,false
203,8640,61,0.007060185185,14,1,0,0,0,0,0,0,0,false
204,8640,50,0.005787037037,13,0,0,0,0,0,0,0,0,false
205,8640,67,0.00775462963,18,0,0,0,0,0,0,0,0,false
206,8640,67,0.00775462963,10,0,0,0,0,0,0,0,0,false
207,8640,57,0.006597222222,15,1,0,0,0,0,0,0,0,false
208,8640,70,0.008101851852,13,0,0,0,0,0,0,0,0,false
209,8640,63,0.007291666667,10,0,0,0,0,0,0,0,0,false
210,8640,78,0.009027777778,15,1,0,0,0,0,0,0,0,false
211,8640,56,0.006481481481,18,1,1,0,0,0,0,0,0,false
212,8640,59,0.006828703704,16,0,0,0,0,0,0,0,0,false
213,8640,66,0.007638888889,16,0,0,0,0,0,0,0,0,false
214,8640,70,0.008101851852,24,3,2,1,1,1,0,0,0,false
215,8640,59,0.006828703704,12,0,0,0,0,0,0,0,0,false
216,8640,60,0.006944444444,12,3,1,0,0,0,0,0,0,false
217,8640,59,0.006828703704,15,0,0,0,0,0,0,0,0,false
218,8640,54,0.00625,7,0,0,0,0,0,0,0,0,false
219,8640,55,0.006365740741,17,0,0,0,0,0,0,0,0,false
220,8640,61,0.007060185185,12,1,0,0,0,0,0,0,0,false
221,8640,58,0.006712962963,15,1,0,0,0,0,0,0,0,false
