score_rank,selection_rank,symbol,ticker_turnover_24h,trades,download_bytes,notional_3d,price_min,price_max,price_ratio,top1_size_share,top5_size_share,balanced_recurring_top5_share,max_second,max_second_share,second_rank2,top_two_second_share,top_gap_ms,top_gap_share,benford_l1,anomaly_score,followup_candidate,followup_reason
38,37,MEWUSDT,14358.35995303,1281,11879,63254.04,0.0003532,0.000374,1.0589,0.0702576112412178,0.20452771272443404,0.15613,47,0.04839968774395004,0,0.09055425448868072,0,0.22781,0.19829,2.63557,no,
39,25,STREAMUSDT,12320.7973721,6342,60297,118236.71,0.008577,0.011797,1.3754,0.02034058656575213,0.04809208451592557,0.041,2,0.14963733837906024,9,0.17928098391674552,120240,0.06808,0.47016,2.59612,no,
40,50,BOMEUSDT,19589.55433506,1217,12563,57627.51,0.0003988,0.0004208,1.0552,0.06327033689400165,0.20870994248151192,0.17667,1,0.04683648315529992,2,0.0780608052588332,0,0.18195,0.08333,2.58927,no,
41,2,OLUSDT,5709.397188,395,3700,25765.85,0.005001,0.005629,1.1256,0.09113924050632911,0.27341772151898736,0,24,0.05822784810126582,56,0.10379746835443038,0,0.21835,0.66516,2.56432,no,
42,75,SONICUSDT,25792.559546,14020,121323,300196.91,0.02247,0.02471,1.0997,0.08017118402282454,0.26312410841654776,0.10756,0,0.027960057061340943,39,0.0543509272467903,0,0.06987,0.55555,2.53233,no,
43,54,RPLUSDT,20853.71196,1556,15853,119001.88,1.72,1.889,1.0983,0.02699228791773779,0.09961439588688946,0.01542,2,0.13753213367609254,17,0.17544987146529564,0,0.10213,0.31854,2.39446,no,
44,39,ROSEUSDT,14737.70926189,1428,13331,51563.99,0.005426,0.005864,1.0807,0.07352941176470588,0.16246498599439776,0.04202,0,0.07633053221288516,2,0.13445378151260504,0,0.15049,0.24053,2.35797,no,
45,24,SCAUSDT,12023.1165728,1637,16105,33031.71,0.00814,0.01015,1.2469,0.07147220525351253,0.1325595601710446,0.11851,48,0.046426389737324374,44,0.08307880268784362,0,0.21883,0.36923,2.34328,no,
46,48,DYMUSDT,18052.2158969,2332,19743,79952.35,0.01495,0.01592,1.0649,0.04373927958833619,0.1513722126929674,0.12221,0,0.05317324185248713,50,0.09476843910806175,0,0.23256,0.46171,2.33138,no,
47,74,PSGUSDT,25623.655415,5586,44284,86841.39,0.5182,0.5489,1.0592,0.025420694593626926,0.10347296813462227,0.10347,2,0.0707124955245256,40,0.11027568922305764,0,0.3327,0.68831,2.28027,no,
